Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
pspG,511,477,-0.09933402493210979,-34,Unchanged,100000,3
dusA,1120,1642,0.5519553948328383,522,Unchanged,100000,3
yjbM,14,219,3.967432137543569,205,Upregulated,100000,3
yjbL,3,4,0.41503749927884376,1,Unchanged,100000,3
zur,717,777,0.11594147970580533,60,Unchanged,100000,3
yjbJ,1018,58,-4.1335408509481235,-960,Downregulated,100000,3
dinF,680,1930,1.504994196017741,1250,Unchanged,100000,3
lexA,4786,1260,-1.92539666315122,-3526,Unchanged,100000,3
dgkA,506,514,0.02263097449956785,8,Unchanged,100000,3
plsB,7820,5034,-0.6354633910337353,-2786,Unchanged,100000,3
ubiA,776,1208,0.6384918971379513,432,Unchanged,100000,3
ubiC,444,734,0.7252203864931068,290,Unchanged,100000,3
yjbI,18,224,3.6374299206152916,206,Upregulated,100000,3
malM,606,1216,1.0047535299706345,610,Unchanged,100000,3
lamB,1703,1893,0.15259597602516287,190,Unchanged,100000,3
malK,892,1622,0.8626582042969683,730,Unchanged,100000,3
malE,3388,2359,-0.5222584560927361,-1029,Unchanged,100000,3
malF,1100,2518,1.1947747593069946,1418,Unchanged,100000,3
malG,644,1494,1.2140475546746203,850,Unchanged,100000,3
xylE,1738,4744,1.4486759277316035,3006,Unchanged,100000,3
psiE,269,421,0.6462140605097719,152,Unchanged,100000,3
yjbH,366,3374,3.2045444200035234,3008,Upregulated,100000,3
yjbG,73,1306,4.161114622666413,1233,Upregulated,100000,3
yjbF,90,934,3.3754256433799874,844,Upregulated,100000,3
yjbE,250,121,-1.0469210473874926,-129,Unchanged,100000,3
pgi,21407,9183,-1.2210451783558893,-12224,Unchanged,100000,3
lysC,6664,3490,-0.9331613642685329,-3174,Unchanged,100000,3
yjbD,238,190,-0.3249621549769956,-48,Unchanged,100000,3
rluF,494,1309,1.4058821503605632,815,Unchanged,100000,3
