Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
yhcE,1924,8506,2.144372055855722,6582,Upregulated,10,5
ytjA,336,72,-2.222392421336448,-264,Downregulated,10,5
yjjZ,6,136,4.502500340529183,130,Upregulated,10,5
topAI,23,98,2.0911478880581953,75,Upregulated,10,5
sgcB,7,172,4.618909832644494,165,Upregulated,10,5
insM,19,45,1.2439255828860891,26,Upregulated,10,5
ghoT,2,6,1.584962500721156,4,Unchanged,10,5
yifL,297,143,-1.0544477840223765,-154,Downregulated,10,5
yidD,474,222,-1.0943273825481532,-252,Downregulated,10,5
ysdC,69,1626,4.558587085296859,1557,Upregulated,10,5
yicS,31,198,2.6751603096927346,167,Upregulated,10,5
yibT,231,122,-0.9210117038531713,-109,Downregulated,10,5
ysaB,34,230,2.7580272096940357,196,Upregulated,10,5
yrhC,7,137,4.290677160902923,130,Upregulated,10,5
yheV,29,32,0.14201900487242786,3,Unchanged,10,5
arfA,59,39,-0.5972408304995929,-20,Downregulated,10,5
ypjJ,1,78,6.285402218862249,77,Upregulated,10,5
ypfN,80,151,0.9164766444377165,71,Upregulated,10,5
ypeB,91,111,0.28662122615140984,20,Upregulated,10,5
ypdJ,1,1,0.0,0,Unchanged,10,5
arnE,34,305,3.1652025911999093,271,Upregulated,10,5
ypaA,50,53,0.08406426478847455,3,Unchanged,10,5
yohO,1,1,0.0,0,Unchanged,10,5
yehK,1,94,6.554588851677638,93,Upregulated,10,5
yoeB,153,170,0.15200309344505006,17,Upregulated,10,5
yoeF,1,10,3.321928094887362,9,Unchanged,10,5
yecJ,185,148,-0.3219280948873623,-37,Downregulated,10,5
yobH,203,65,-1.6429681041567217,-138,Downregulated,10,5
yniD,1,2,1.0,1,Unchanged,10,5
ynfO,16,90,2.4918530963296748,74,Upregulated,10,5
hicA,39,37,-0.07594885323329863,-2,Unchanged,10,5
ydbJ,957,354,-1.4347695644030283,-603,Downregulated,10,5
rzoR,4,5,0.32192809488736235,1,Unchanged,10,5
ydaF,2,31,3.9541963103868754,29,Upregulated,10,5
ydaE,3,9,1.584962500721156,6,Unchanged,10,5
ymjC,2,3,0.5849625007211562,1,Unchanged,10,5
ymjB,29,1743,5.909375858998113,1714,Upregulated,10,5
yciX,30,29,-0.0489096004809464,-1,Unchanged,10,5
ymiA,3,11,1.874469117916141,8,Unchanged,10,5
ycgI,32,227,2.826548487290915,195,Upregulated,10,5
ymgF,9,22,1.289506617194985,13,Upregulated,10,5
icdC,3,27,3.169925001442312,24,Upregulated,10,5
ymdF,130,61,-1.0916304754655681,-69,Downregulated,10,5
gnsA,44,57,0.37345839552744436,13,Upregulated,10,5
insA4,7,262,5.226068079479846,255,Upregulated,10,5
cydX,8,4,-1.0,-4,Unchanged,10,5
ybfQ,10,66,2.722466024471091,56,Upregulated,10,5
kdpF,1,1,0.0,0,Unchanged,10,5
ybdD,18,71,1.9798221180623699,53,Upregulated,10,5
ybdZ,2,133,6.05528243550119,131,Upregulated,10,5
rzoD,5,9,0.8479969065549501,4,Unchanged,10,5
ylcG,1,6,2.584962500721156,5,Unchanged,10,5
peaD,2,231,6.851749041416057,229,Upregulated,10,5
ykgO,1,6,2.584962500721156,5,Unchanged,10,5
insX,130,242,0.89649542424614,112,Upregulated,10,5
ykfH,7,152,4.4405725913859815,145,Upregulated,10,5
yafF,3,90,4.906890595608519,87,Upregulated,10,5
yeiW,4,202,5.658211482751795,198,Upregulated,10,5
torI,13,29,1.15754127698648,16,Upregulated,10,5
yfaS,364,7694,4.401723474097919,7330,Upregulated,10,5
yehH,240,5701,4.570108690524543,5461,Upregulated,10,5
yeeL,51,389,2.931201003014696,338,Upregulated,10,5
yedS,262,791,1.5941108829353414,529,Upregulated,10,5
yedN,29,211,2.863118193579613,182,Upregulated,10,5
arpB,68,987,3.8594434332060583,919,Upregulated,10,5
gapC,14295,3808,-1.9084052362105168,-10487,Downregulated,10,5
ydbA,5237,15549,1.5700092896565043,10312,Upregulated,10,5
ycgH,586,1826,1.639714195561974,1240,Upregulated,10,5
efeU,20,1857,6.536830005048058,1837,Upregulated,10,5
ilvG,7954,14887,0.9043005867860018,6933,Upregulated,10,5
yjdP,165,637,1.9488273480104847,472,Upregulated,10,5
yjiV,1271,5318,2.0649197468527087,4047,Upregulated,10,5
ytfR,175,2691,3.9427155638080884,2516,Upregulated,10,5
cpxP,1372,2510,0.8714068826653221,1138,Upregulated,10,5
tatD,906,1419,0.6472916340143162,513,Upregulated,10,5
yigE,43,1044,4.601641241867787,1001,Upregulated,10,5
wecF,834,1273,0.6101131304566944,439,Upregulated,10,5
hdfR,1225,1064,-0.20328359838874335,-161,Downregulated,10,5
dgoR,326,1708,2.389364105389413,1382,Upregulated,10,5
dgoD,115,2334,4.343098794762973,2219,Upregulated,10,5
dgoA,39,973,4.6408937759188635,934,Upregulated,10,5
gntU,350,3078,3.1365664044958814,2728,Upregulated,10,5
rtcA,332,2851,3.102212892591028,2519,Upregulated,10,5
frlC,64,1370,4.419960177847889,1306,Upregulated,10,5
smf,493,951,0.9478576944826519,458,Upregulated,10,5
yhdP,3334,6050,0.8596810380629025,2716,Upregulated,10,5
tdcG,127,1768,3.799217872619266,1641,Upregulated,10,5
cyuA,278,2229,3.003239828536245,1951,Upregulated,10,5
ygiQ,1439,3832,1.4130309689958824,2393,Upregulated,10,5
glcE,78,2695,5.11066733877762,2617,Upregulated,10,5
glcF,301,3146,3.3856832786559847,2845,Upregulated,10,5
yghJ,7703,8990,0.2229006904246339,1287,Upregulated,10,5
yggP,89,1558,4.129746087095271,1469,Upregulated,10,5
ghxQ,238,1659,2.8012804076479196,1421,Upregulated,10,5
ygcU,68,1934,4.829909238226501,1866,Upregulated,10,5
ygaQ,17,946,5.798233532089056,929,Upregulated,10,5
yfjD,652,1551,1.2502548168050134,899,Upregulated,10,5
araH,277,1225,2.1448238678407443,948,Upregulated,10,5
ryjA,1,16,4.0,15,Upregulated,10,5
oxyS,1,1,0.0,0,Unchanged,10,5
csrC,64712,3906,-4.0502694117477835,-60806,Downregulated,10,5
glmZ,2821,925,-1.608681395181897,-1896,Downregulated,10,5
hokA,1,3,1.584962500721156,2,Unchanged,10,5
rdlD,1,1,0.0,0,Unchanged,10,5
ldrD,1,1,0.0,0,Unchanged,10,5
gadY,1,1,0.0,0,Unchanged,10,5
ryhB,1,1,0.0,0,Unchanged,10,5
arcZ,1,1,0.0,0,Unchanged,10,5
sraG,1,19,4.247927513443585,18,Upregulated,10,5
sibD,3,12,2.0,9,Unchanged,10,5
sibC,1,7,2.807354922057604,6,Unchanged,10,5
omrB,1,1,0.0,0,Unchanged,10,5
omrA,1,1,0.0,0,Unchanged,10,5
gcvB,1042,50,-4.381283372503783,-992,Downregulated,10,5
micA,1,1,0.0,0,Unchanged,10,5
glmY,101,54,-0.9033239805883261,-47,Downregulated,10,5
ryfA,185,389,1.0722448844698798,204,Upregulated,10,5
micF,1,1,0.0,0,Unchanged,10,5
cyaR,1,1,0.0,0,Unchanged,10,5
sibB,1,6,2.584962500721156,5,Unchanged,10,5
sibA,2,10,2.321928094887362,8,Unchanged,10,5
isrC,35,18,-0.9593580155026542,-17,Downregulated,10,5
sdsR,1,1,0.0,0,Unchanged,10,5
ryeA,331,240,-0.46379681119869925,-91,Downregulated,10,5
rprA,1,1,0.0,0,Unchanged,10,5
rydB,1,1,0.0,0,Unchanged,10,5
sokB,1,1,0.0,0,Unchanged,10,5
hokB,6,11,0.874469117916141,5,Unchanged,10,5
micC,1,1,0.0,0,Unchanged,10,5
mcaS,1,13,3.700439718141092,12,Upregulated,10,5
rttR,15,132,3.137503523749935,117,Upregulated,10,5
rdlC,1,1,0.0,0,Unchanged,10,5
ldrC,1,1,0.0,0,Unchanged,10,5
rdlB,1,1,0.0,0,Unchanged,10,5
ldrB,1,3,1.584962500721156,2,Unchanged,10,5
rdlA,1,1,0.0,0,Unchanged,10,5
ldrA,2,1,-1.0,-1,Unchanged,10,5
sraB,2,14,2.807354922057604,12,Upregulated,10,5
rybB,1,1,0.0,0,Unchanged,10,5
rybA,1,1,0.0,0,Unchanged,10,5
hokE,3,18,2.584962500721156,15,Upregulated,10,5
tff,75,8,-3.228818690495881,-67,Downregulated,10,5
sokC,1,1,0.0,0,Unchanged,10,5
hokC,1,10,3.321928094887362,9,Unchanged,10,5
ecnB,30,24,-0.3219280948873623,-6,Unchanged,10,5
ecnA,2,3,0.5849625007211562,1,Unchanged,10,5
blr,16,3,-2.415037499278844,-13,Downregulated,10,5
csrB,623178,260368,-1.2590921550619776,-362810,Downregulated,10,5
thiS,6,71,3.564784618783526,65,Upregulated,10,5
yaeP,974,316,-1.6239972139052394,-658,Downregulated,10,5
yjtD,303,1091,1.8482614028506563,788,Upregulated,10,5
yjjY,1,12,3.584962500721156,11,Upregulated,10,5
arcA,18961,3232,-2.55253595053786,-15729,Downregulated,10,5
creD,132,2359,4.159565583881009,2227,Upregulated,10,5
creC,331,3081,3.2184955602321335,2750,Upregulated,10,5
creB,419,1320,1.6555157805464642,901,Upregulated,10,5
creA,590,815,0.4660851048692364,225,Upregulated,10,5
rob,3855,2200,-0.8092273363903748,-1655,Downregulated,10,5
ytjC,1339,1457,0.12184491674020201,118,Upregulated,10,5
yjjX,410,1130,1.4626269577971038,720,Upregulated,10,5
trpR,367,545,0.5704761668210759,178,Upregulated,10,5
slt,3688,5047,0.4525874308690885,1359,Upregulated,10,5
ettA,10993,4743,-1.2127133793175484,-6250,Downregulated,10,5
nadR,1902,2532,0.4127601585677778,630,Upregulated,10,5
radA,2676,3891,0.5400628643313947,1215,Upregulated,10,5
serB,1260,2385,0.920565532505595,1125,Upregulated,10,5
ytjB,442,1204,1.4457171173682706,762,Upregulated,10,5
lplA,857,2361,1.4620309321161429,1504,Upregulated,10,5
yjjJ,688,2642,1.9411499965447296,1954,Upregulated,10,5
deoD,7557,3615,-1.0638179756169173,-3942,Downregulated,10,5
deoB,10766,7437,-0.5336896532115522,-3329,Downregulated,10,5
deoA,4885,6684,0.4523531712054403,1799,Upregulated,10,5
deoC,2561,3892,0.6038044571836431,1331,Upregulated,10,5
yjjI,5004,5258,0.0714323524522261,254,Upregulated,10,5
yjjW,1294,2319,0.841665202653496,1025,Upregulated,10,5
yjjV,529,1681,1.6679800971221417,1152,Upregulated,10,5
yjjU,1517,2120,0.48284317920352815,603,Upregulated,10,5
osmY,3816,1635,-1.2227705356200667,-2181,Downregulated,10,5
prfC,3488,3339,-0.06298394671381069,-149,Downregulated,10,5
yjjG,1035,1347,0.3801190830756155,312,Upregulated,10,5
rimI,804,829,0.04417660031682193,25,Upregulated,10,5
holD,946,872,-0.11751204856246883,-74,Downregulated,10,5
rsmC,1525,2059,0.4331345872946432,534,Upregulated,10,5
fhuF,67,1197,4.15911824648573,1130,Upregulated,10,5
bglJ,25,477,4.2539892662307865,452,Upregulated,10,5
yjjQ,17,629,5.20945336562895,612,Upregulated,10,5
yjjP,456,1375,1.5923258891346426,919,Upregulated,10,5
yjjB,206,646,1.6488898275107065,440,Upregulated,10,5
dnaT,209,718,1.7804809017421686,509,Upregulated,10,5
dnaC,465,1575,1.7600492072792475,1110,Upregulated,10,5
yjjA,498,897,0.8489622428511803,399,Upregulated,10,5
opgB,2212,5627,1.3470145778228502,3415,Upregulated,10,5
lgoD,25,2008,6.327687364176048,1983,Upregulated,10,5
lgoR,244,1756,2.847339791972472,1512,Upregulated,10,5
lgoT,158,3325,4.395357877098811,3167,Upregulated,10,5
tsr,315,4676,3.8918511961443776,4361,Upregulated,10,5
btsT,618,7336,3.5693148956906797,6718,Upregulated,10,5
yjiX,29,104,1.84245872301352,75,Upregulated,10,5
yjiA,1004,2341,1.2213656651612408,1337,Upregulated,10,5
mrr,878,1767,1.0090091950162585,889,Upregulated,10,5
hsdR,5342,8841,0.7268295852100465,3499,Upregulated,10,5
hsdM,1239,2944,1.2486014839164112,1705,Upregulated,10,5
hsdS,698,1184,0.7623701394192975,486,Upregulated,10,5
symE,93,322,1.7917580670065856,229,Upregulated,10,5
mcrB,870,1119,0.36312273024030334,249,Upregulated,10,5
mcrC,279,477,0.773724144176324,198,Upregulated,10,5
yjiT,3658,2524,-0.5353431647661675,-1134,Downregulated,10,5
yjiS,2,38,4.247927513443585,36,Upregulated,10,5
yjiR,298,2529,3.0851828012010767,2231,Upregulated,10,5
mdtM,575,2213,1.944369589969274,1638,Upregulated,10,5
yjiN,588,2484,2.078777113384117,1896,Upregulated,10,5
yjiM,4315,3389,-0.34850092258232307,-926,Downregulated,10,5
yjiL,1152,1680,0.5443205162238102,528,Upregulated,10,5
yjiK,240,1022,2.090288885329103,782,Upregulated,10,5
yjiJ,100,2147,4.424250286084049,2047,Upregulated,10,5
kptA,173,822,2.2483663560449583,649,Upregulated,10,5
yjiH,20255,4357,-2.2168710666586313,-15898,Downregulated,10,5
yjiG,11863,2271,-2.3850692838713368,-9592,Downregulated,10,5
iadA,53248,9915,-2.425042661024882,-43333,Downregulated,10,5
hypT,7998,3191,-1.3256306725308171,-4807,Downregulated,10,5
iraD,753,575,-0.3890879088401906,-178,Downregulated,10,5
yjiC,34,450,3.7263183499666974,416,Upregulated,10,5
uxuR,769,1481,0.9455161373270212,712,Upregulated,10,5
uxuB,221,3413,3.9489221397074337,3192,Upregulated,10,5
uxuA,200,2027,3.341274183692174,1827,Upregulated,10,5
gntP,123,2064,4.068712750084014,1941,Upregulated,10,5
fimH,225,1241,2.4635062089133197,1016,Upregulated,10,5
fimG,119,676,2.5060616729742407,557,Upregulated,10,5
fimF,73,604,3.0485801804450614,531,Upregulated,10,5
fimD,455,3930,3.1105908620599103,3475,Upregulated,10,5
fimC,251,746,1.5714882663044658,495,Upregulated,10,5
fimI,604,797,0.4000311746653929,193,Upregulated,10,5
fimA,5131,1171,-2.131498949690201,-3960,Downregulated,10,5
fimE,36,611,4.085103568376417,575,Upregulated,10,5
fimB,453,521,0.20177232223227326,68,Upregulated,10,5
nanC,13,540,5.376375878909739,527,Upregulated,10,5
nanM,473,1073,1.1817379874171268,600,Upregulated,10,5
nanS,134,1239,3.2088712816828293,1105,Upregulated,10,5
yjhR,61,1303,4.416884031005248,1242,Upregulated,10,5
yjhQ,164,818,2.3184050283236655,654,Upregulated,10,5
yjhP,281,1574,2.4857935052865603,1293,Upregulated,10,5
sgcX,106,1900,4.163863248655111,1794,Upregulated,10,5
sgcC,109,2384,4.450984195685235,2275,Upregulated,10,5
sgcQ,91,1421,3.964896199044084,1330,Upregulated,10,5
sgcA,87,645,2.890211854461888,558,Upregulated,10,5
sgcE,126,1200,3.2515387669959646,1074,Upregulated,10,5
sgcR,141,1365,3.275133883408421,1224,Upregulated,10,5
yjhI,52,650,3.643856189774725,598,Upregulated,10,5
yjhH,117,1553,3.7304773948038967,1436,Upregulated,10,5
yjhG,585,4332,2.8885247131375604,3747,Upregulated,10,5
yjhF,68,2459,5.176393178345743,2391,Upregulated,10,5
yjhU,1749,2834,0.6963094689963659,1085,Upregulated,10,5
insA7,35,295,3.0752881273042374,260,Upregulated,10,5
fecI,59,1258,4.414273157517448,1199,Upregulated,10,5
fecR,50,2024,5.339137384919585,1974,Upregulated,10,5
fecA,161,6076,5.2379892763874665,5915,Upregulated,10,5
fecB,171,2314,3.758320634221592,2143,Upregulated,10,5
fecC,87,2035,4.547869583304881,1948,Upregulated,10,5
fecD,71,1658,4.545481171991068,1587,Upregulated,10,5
fecE,143,1471,3.3627101944764406,1328,Upregulated,10,5
yjhV,7,388,5.792557920129523,381,Upregulated,10,5
insI3,26,13,-1.0,-13,Downregulated,10,5
yjhE,4,173,5.434628227636725,169,Upregulated,10,5
yjhD,16,125,2.965784284662087,109,Upregulated,10,5
nanY,303,814,1.425711000793296,511,Upregulated,10,5
nanX,73,541,2.889660224946798,468,Upregulated,10,5
insG,539,2030,1.9131225493200332,1491,Upregulated,10,5
yjgZ,2,370,7.531381460516312,368,Upregulated,10,5
insD6,314,333,0.08475761817963527,19,Upregulated,10,5
insC6,297,262,-0.18089611926331556,-35,Downregulated,10,5
intB,473,1343,1.5055472160880472,870,Upregulated,10,5
ahr,1429,1372,-0.0587254349230041,-57,Downregulated,10,5
idnK,61,375,2.620009447820357,314,Upregulated,10,5
idnD,92,1218,3.7267364618493195,1126,Upregulated,10,5
idnO,86,678,2.978876708434246,592,Upregulated,10,5
idnT,135,1472,3.4467463590061818,1337,Upregulated,10,5
idnR,316,1169,1.8872784663545534,853,Upregulated,10,5
yjgR,999,2404,1.2668803129187671,1405,Upregulated,10,5
lptG,1926,2552,0.4060206259214101,626,Upregulated,10,5
lptF,1531,2441,0.6729980122813661,910,Upregulated,10,5
pepA,14790,6269,-1.238314817550709,-8521,Downregulated,10,5
holC,1329,781,-0.7669466511341951,-548,Downregulated,10,5
valS,23802,10327,-1.204661592068277,-13475,Downregulated,10,5
yjgN,38,420,3.466318004222537,382,Upregulated,10,5
yjgM,397,541,0.4464895866838575,144,Upregulated,10,5
rraB,3370,1086,-1.6337244882648594,-2284,Downregulated,10,5
argI,736,3290,2.160309912565591,2554,Upregulated,10,5
yjgL,292,252,-0.21254463538010074,-40,Downregulated,10,5
tabA,1081,416,-1.377711089593558,-665,Downregulated,10,5
bdcR,178,385,1.112981204615866,207,Upregulated,10,5
bdcA,106,792,2.9014361655164103,686,Upregulated,10,5
yjgH,120,294,1.292781749227846,174,Upregulated,10,5
pyrL,186,20,-3.217230716220669,-166,Downregulated,10,5
pyrB,140918,1708,-6.366404119239856,-139210,Downregulated,10,5
pyrI,71072,608,-6.869066164103395,-70464,Downregulated,10,5
ridA,34381,897,-5.26035971204243,-33484,Downregulated,10,5
mgtA,1319,4158,1.6564451936068254,2839,Upregulated,10,5
treR,678,1218,0.8451569547699884,540,Upregulated,10,5
treB,191,2014,3.398419139971036,1823,Upregulated,10,5
treC,173,2259,3.7068403277563595,2086,Upregulated,10,5
nrdD,2249,4026,0.8400635111435228,1777,Upregulated,10,5
nrdG,148,440,1.5719063478957098,292,Upregulated,10,5
cybC,227,432,0.9283390148725535,205,Upregulated,10,5
tldE,3937,2957,-0.41296246903871686,-980,Downregulated,10,5
yjgA,957,820,-0.22289501498057954,-137,Downregulated,10,5
mpl,4487,3051,-0.5564690040976888,-1436,Downregulated,10,5
fbp,5724,2020,-1.5026683790875106,-3704,Downregulated,10,5
yjfF,105,1226,3.5454977460246586,1121,Upregulated,10,5
ytfT,94,1494,3.9903755811115995,1400,Upregulated,10,5
ytfQ,214,1326,2.631398073711441,1112,Upregulated,10,5
ppa,8657,1608,-2.4285997529658547,-7049,Downregulated,10,5
chpB,91,412,2.178705886984522,321,Upregulated,10,5
chpS,81,184,1.183711953172388,103,Upregulated,10,5
ytfP,1536,413,-1.894964529301711,-1123,Downregulated,10,5
tamB,4177,7508,0.8459615066680816,3331,Upregulated,10,5
tamA,2349,3583,0.6091213301985393,1234,Upregulated,10,5
msrA,1422,1071,-0.4089629848691594,-351,Downregulated,10,5
ytfL,468,2004,2.0983020736118037,1536,Upregulated,10,5
ytfK,137,44,-1.6386004643232295,-93,Downregulated,10,5
ytfJ,73,630,3.1093834595072614,557,Upregulated,10,5
ytfI,28,283,3.337303320774278,255,Upregulated,10,5
cysQ,975,1065,0.12737930647622742,90,Upregulated,10,5
cpdB,1721,2884,0.7448240672006189,1163,Upregulated,10,5
ytfH,43,368,3.0972972013549147,325,Upregulated,10,5
qorB,346,1323,1.934969118641952,977,Upregulated,10,5
ytfF,77,1433,4.2180363535672445,1356,Upregulated,10,5
ytfE,87,834,3.2609600775959353,747,Upregulated,10,5
cycA,2479,2784,0.16740093976200615,305,Upregulated,10,5
fklB,5501,1399,-1.9752979404805746,-4102,Downregulated,10,5
ytfB,1143,1018,-0.16708784213878292,-125,Downregulated,10,5
ytfA,5,159,4.990954860396993,154,Upregulated,10,5
yjfZ,28,551,4.298553586513553,523,Upregulated,10,5
rplI,15234,2078,-2.87402724146445,-13156,Downregulated,10,5
rpsR,2683,578,-2.2147056567598424,-2105,Downregulated,10,5
priB,5540,925,-2.582360705532876,-4615,Downregulated,10,5
rpsF,13785,2732,-2.3350698786074626,-11053,Downregulated,10,5
yjfY,23,146,2.666262602823004,123,Upregulated,10,5
ulaF,109,1035,3.247230727609761,926,Upregulated,10,5
ulaE,192,1468,2.9346737521220567,1276,Upregulated,10,5
ulaD,166,1103,2.732177644244458,937,Upregulated,10,5
ulaC,45,499,3.471042909007586,454,Upregulated,10,5
ulaB,14,287,4.357552004618084,273,Upregulated,10,5
ulaA,43,2279,5.727920454563199,2236,Upregulated,10,5
ulaG,75,1749,4.543495883425772,1674,Upregulated,10,5
ulaR,443,1254,1.5011587442470207,811,Upregulated,10,5
yjfP,243,1078,2.1493289591467244,835,Upregulated,10,5
bsmA,77,285,1.8880315683572026,208,Upregulated,10,5
yjfN,41,141,1.78199934778071,100,Upregulated,10,5
aidB,5102,2629,-0.9565487569844264,-2473,Downregulated,10,5
yjfC,41,1601,5.287205587898173,1560,Upregulated,10,5
yjfM,17,759,5.480493234165127,742,Upregulated,10,5
yjfL,6,290,5.594946589293778,284,Upregulated,10,5
yjfK,13,675,5.698303973797101,662,Upregulated,10,5
yjfJ,41,1164,4.8273233382902,1123,Upregulated,10,5
yjfI,12,106,3.142957953842043,94,Upregulated,10,5
rlmB,1045,1441,0.46356739320650253,396,Upregulated,10,5
rnr,10457,8416,-0.31326240762558943,-2041,Downregulated,10,5
